part_number,part_description,material,dimensions,category
ERP-1000001,BALL BEARING SERIES 6201ZZ,NYLON,SERIES 6201-ZZ,BEARINGS
ERP-1000002,ORING 12MM IDX1.5MM CS,BARE COPPER,12MM IDX1.5MM CS,SEALS & GASKETS
ERP-1000003,SET SCREW M8X2.0X25MM,YELLOW BRASS,M8X2.0X25MM,FASTENERS
ERP-1000004,HEX NUT ,A2-70,"",FASTENERS
ERP-1000005,GASKET ,NYLON,"",SEALS & GASKETS
ERP-1000006,LOCK NUT ,STAINLESS,"",FASTENERS
ERP-1000007,LOCK NUT ,CS,"",FASTENERS
ERP-1000008,RELAY ,CHROME STEEL,"",ELECTRICAL
ERP-1000009,SPRING ,NITRILE,"",OTHER
ERP-1000010,SWITCH ,NYLON,"",ELECTRICAL
ERP-1000011,ORING 15MM IDX2.0MM CS,VITON,15MM IDX2.0MM CS,SEALS & GASKETS
ERP-1000012,CYLINDER ,POLYAMIDE,"",HYDRAULIC/PNEUMATIC
ERP-1000013,NEEDLE BEARING SERIES 6202ZZ,VITON,SERIES 6202-ZZ,BEARINGS
ERP-1000014,ORING 44MM IDX2.0MM CS,COPPER,44MM IDX2.0MM CS,SEALS & GASKETS
ERP-1000015,FLANGE NUT ,GRADE 5,"",FASTENERS
ERP-1000016,ORING 30MM IDX3.0MM CS,FKM,30MM IDX3.0MM CS,SEALS & GASKETS
ERP-1000017,"SET SCREW 5/16""20X11/4""",BRASS,"5/16""-20X1-1/4""",FASTENERS
ERP-1000018,CYLINDER ,FKM,"",HYDRAULIC/PNEUMATIC
ERP-1000019,LOCK WASHER ,YELLOW BRASS,"",FASTENERS
ERP-1000020,SHAFT SEAL ,COPPER,"",SEALS & GASKETS
ERP-1000021,"FLAT HEAD SCREW 1/4""20X1/2""",YELLOW BRASS,"1/4""-20X1/2""",FASTENERS
ERP-1000022,FLAT HEAD SCREW M16X2.0X60MM,CS,M16X2.0X60MM,FASTENERS
ERP-1000023,BEARING HOUSING SERIES 6205OPEN,NBR,SERIES 6205-OPEN,BEARINGS
ERP-1000024,RELAY ,NYLON,"",ELECTRICAL
ERP-1000025,FLAT HEAD SCREW M10X1.0X16MM,BLACK OXIDE,M10X1.0X16MM,FASTENERS
ERP-1000026,VALVE ,BARE COPPER,"",HYDRAULIC/PNEUMATIC
ERP-1000027,FLAT HEAD SCREW M12X2.5X10MM,YELLOW BRASS,M12X2.5X10MM,FASTENERS
ERP-1000028,LOCK NUT ,PLAIN STEEL,"",FASTENERS
ERP-1000029,THREADED ROD ,18-8,"",FASTENERS
ERP-1000030,ORING 18MM IDX3.0MM CS,COPPER,18MM IDX3.0MM CS,SEALS & GASKETS
ERP-1000031,HOSE ,POLYAMIDE,"",HYDRAULIC/PNEUMATIC
ERP-1000032,CLIP ,VITON,"",OTHER
ERP-1000033,LOCK NUT ,GR 8,"",FASTENERS
ERP-1000034,"SET SCREW 1/4""18X11/2""",TYPE 304,"1/4""-18X1-1/2""",FASTENERS
ERP-1000035,SET SCREW M4X1.25X16MM,A2-70,M4X1.25X16MM,FASTENERS
ERP-1000036,VALVE ,NBR,"",HYDRAULIC/PNEUMATIC
ERP-1000037,FLAT WASHER ,STAINLESS,"",FASTENERS
ERP-1000038,SHAFT SEAL ,FKM,"",SEALS & GASKETS
ERP-1000039,TERMINAL ,NBR,"",ELECTRICAL
ERP-1000040,GASKET ,52100,"",SEALS & GASKETS
ERP-1000041,HB M16X1.75X16MM,18-8,M16X1.75X16MM,FASTENERS
ERP-1000042,LOCK WASHER ,CS,"",FASTENERS
ERP-1000043,HEX NUT ,BLACK OXIDE,"",FASTENERS
ERP-1000044,FITTING ,52100,"",HYDRAULIC/PNEUMATIC
ERP-1000045,LOCK WASHER ,304 SS,"",FASTENERS
ERP-1000046,HOSE ,FKM,"",HYDRAULIC/PNEUMATIC
ERP-1000047,SET SCREW M6X2.0X10MM,CARBON STEEL,M6X2.0X10MM,FASTENERS
ERP-1000048,LUBRICANT ,52100,"",OTHER
ERP-1000049,LOCK WASHER ,GRADE 8,"",FASTENERS
ERP-1000050,SET SCREW M12X0.7X10MM,304 SS,M12X0.7X10MM,FASTENERS
ERP-1000051,BEARING HOUSING SERIES 6200OPEN,BARE COPPER,SERIES 6200-OPEN,BEARINGS
