part_number,part_description,material,dimensions,category
00001,Ball Bearing  Series 6201-ZZ Nylon,Nylon,Series 6201-ZZ,European Bearings
00002,O-Ring  12mm ID x 1.5mm CS Copper,Copper,12mm ID x 1.5mm CS,European Seals & Gaskets
00003,Set Screw  M8x2.0x25mm Yellow Brass,Yellow Brass,M8x2.0x25mm,European Fasteners
00004,Hex Nut   Stainless,Stainless,"",European Fasteners
00005,Gasket   Polyamide,Polyamide,"",European Seals & Gaskets
00006,Lock Nut   Type 304,Type 304,"",European Fasteners
00007,Lock Nut   CS,CS,"",European Fasteners
00008,Relay   52100,52100,"",European Electrical
00009,Spring   Rubber,Rubber,"",European Other
00010,Switch   Polyamide,Polyamide,"",European Electrical
00011,O-Ring  15mm ID x 2.0mm CS Viton,Viton,15mm ID x 2.0mm CS,European Seals & Gaskets
00012,Cylinder   Nylon,Nylon,"",European Hydraulic/Pneumatic
00013,Needle Bearing  Series 6202-ZZ FKM,FKM,Series 6202-ZZ,European Bearings
00014,O-Ring  44mm ID x 2.0mm CS Copper,Copper,44mm ID x 2.0mm CS,European Seals & Gaskets
00015,Flange Nut   Plain Steel,Plain Steel,"",European Fasteners
00016,O-Ring  30mm ID x 3.0mm CS FKM,FKM,30mm ID x 3.0mm CS,European Seals & Gaskets
00017,"Set Screw  5/16""-20 x 1-6.35mm Brass",Brass,"5/16""-20 x 1-6.35mm",European Fasteners
00018,Cylinder   Fluorocarbon,Fluorocarbon,"",European Hydraulic/Pneumatic
00019,Lock Washer   Brass,Brass,"",European Fasteners
00020,Shaft Seal   Bare Copper,Bare Copper,"",European Seals & Gaskets
00021,Flat Head Screw  6.35mm-20 x 12.7mm Yellow Brass,Yellow Brass,6.35mm-20 x 12.7mm,European Fasteners
00022,Flat Head Screw  M16x2.0x60mm Black Oxide,Black Oxide,M16x2.0x60mm,European Fasteners
00023,Bearing Housing  Series 6205-Open Buna-N,Buna-N,Series 6205-Open,European Bearings
00024,Relay   Polyamide,Polyamide,"",European Electrical
00025,Flat Head Screw  M10x1.0x16mm CS,CS,M10x1.0x16mm,European Fasteners
00026,Valve   Copper,Copper,"",European Hydraulic/Pneumatic
00027,Flat Head Screw  M12x2.5x10mm Brass,Brass,M12x2.5x10mm,European Fasteners
00028,Lock Nut   Carbon Steel,Carbon Steel,"",European Fasteners
00029,Threaded Rod   Stainless,Stainless,"",European Fasteners
00030,O-Ring  18mm ID x 3.0mm CS Copper,Copper,18mm ID x 3.0mm CS,European Seals & Gaskets
00031,Set Screw  6.35mm-18 x 1-12.7mm 18-8,18-8,6.35mm-18 x 1-12.7mm,European Fasteners
00032,Set Screw  M4x1.25x16mm SS,SS,M4x1.25x16mm,European Fasteners
00033,Valve   Rubber,Rubber,"",European Hydraulic/Pneumatic
DIN 125-00034,Flat Washer DIN 125-  Stainless,Stainless,"",European Fasteners
00035,Gasket   Chrome Steel,Chrome Steel,"",European Seals & Gaskets
00036,Hex Nut   Gr 8,Gr 8,"",European Fasteners
00037,Fitting   52100,52100,"",European Hydraulic/Pneumatic
00038,Hose   Fluorocarbon,Fluorocarbon,"",European Hydraulic/Pneumatic
00039,Lock Washer   Carbon Steel,Carbon Steel,"",European Fasteners
00040,Gasket   FKM,FKM,"",European Seals & Gaskets
00041,Hex Nut   CS,CS,"",European Fasteners
00042,Fitting   NBR,NBR,"",European Hydraulic/Pneumatic
00043,Bearing Housing  Series 6204-ZZ Rubber,Rubber,Series 6204-ZZ,European Bearings
00044,Quick-Connect   FKM,FKM,"",European Hydraulic/Pneumatic
00045,Set Screw  M10x2.5x30mm CS,CS,M10x2.5x30mm,European Fasteners
00046,Connector   Nitrile,Nitrile,"",European Electrical
00047,Relay   Polyamide,Polyamide,"",European Electrical
00048,Shaft Seal   Copper,Copper,"",European Seals & Gaskets
