canonical_part_id,canonical_description,source,part_number
f132cf00-ede1-415d-b6b0-bda9aea7d8a1,Ball Bearing Series 6201-ZZ,Customer,ERP-1000001
f132cf00-ede1-415d-b6b0-bda9aea7d8a1,Ball Bearing Series 6201-ZZ,Source1,FAS-BALLBEARING-00001
f132cf00-ede1-415d-b6b0-bda9aea7d8a1,Ball Bearing Series 6201-ZZ,Source2,98409A525
f132cf00-ede1-415d-b6b0-bda9aea7d8a1,Ball Bearing Series 6201-ZZ,Source3,BALLBEARING-1
f132cf00-ede1-415d-b6b0-bda9aea7d8a1,Ball Bearing Series 6201-ZZ,Source4,00001
c56578ca-44b6-4ed1-913d-fd6c13ae63cb, O-Ring 12mm ID x 1.5mm CS,Customer,ERP-1000002
c56578ca-44b6-4ed1-913d-fd6c13ae63cb, O-Ring 12mm ID x 1.5mm CS,Source1,FAS-O-RING-00002
c56578ca-44b6-4ed1-913d-fd6c13ae63cb, O-Ring 12mm ID x 1.5mm CS,Source2,93570A692
c56578ca-44b6-4ed1-913d-fd6c13ae63cb, O-Ring 12mm ID x 1.5mm CS,Source3,O-RING-2
c56578ca-44b6-4ed1-913d-fd6c13ae63cb, O-Ring 12mm ID x 1.5mm CS,Source4,00002
38677b0b-a797-45bc-b869-a93041329004,Brass Set Screw M8x2.0x25mm,Customer,ERP-1000003
38677b0b-a797-45bc-b869-a93041329004,Brass Set Screw M8x2.0x25mm,Source1,FAS-SETSCREW-00003
38677b0b-a797-45bc-b869-a93041329004,Brass Set Screw M8x2.0x25mm,Source2,96698A284
38677b0b-a797-45bc-b869-a93041329004,Brass Set Screw M8x2.0x25mm,Source3,SETSCREW-3
38677b0b-a797-45bc-b869-a93041329004,Brass Set Screw M8x2.0x25mm,Source4,00003
63b791f0-c8f6-4169-bddc-cc36d6bab213,Stainless Steel Hex Nut Standard Configuration,Customer,ERP-1000004
63b791f0-c8f6-4169-bddc-cc36d6bab213,Stainless Steel Hex Nut Standard Configuration,Source1,FAS-HEXNUT-00004
63b791f0-c8f6-4169-bddc-cc36d6bab213,Stainless Steel Hex Nut Standard Configuration,Source2,98835A236
